name,variable,ave,trend_value,pvalue,r2
北坞公园,ET,2.047,0.049,0.455,0.003
北坞公园,GPP,4.715,0.113,0.209,0.009
北坞公园,Tair,14.097,0.637,0.143,0.013
北坞公园,Rainf,1.362,0.036,0.673,0.001
通州哈佛摇篮幼儿园,ET,1.425,0.003,0.956,0
通州哈佛摇篮幼儿园,GPP,2.631,0.037,0.11,0.015
通州哈佛摇篮幼儿园,Tair,14.577,0.544,0.205,0.01
通州哈佛摇篮幼儿园,Rainf,1.408,0.039,0.666,0.001
北京市西郊雨洪调蓄工程,ET,2.406,-0.01,0.893,0
北京市西郊雨洪调蓄工程,GPP,1.929,0.031,0.306,0.006
北京市西郊雨洪调蓄工程,Tair,14.053,0.645,0.137,0.013
北京市西郊雨洪调蓄工程,Rainf,1.378,0.039,0.656,0.001
