inx,value,variable,name
2017-03-01,0.44779160618782,LE,asd
2017-03-01,0,Rainf,asd
2018-03-01,0.527265310287476,ET,asd
2018-03-01,2.44770336151123,GPP,asd
2018-03-01,0.527265310287476,LE,asd
2018-03-01,0.173449650406837,Rainf,asd
2019-03-01,0.514496088027954,ET,asd
2019-03-01,2.58383011817932,GPP,asd
2019-03-01,0.514496088027954,LE,asd
2019-03-01,0,Rainf,asd
2013-03-15,0.677095472812653,ET,asd
2013-03-15,2.61503052711487,GPP,asd
2013-03-15,0.677095472812653,LE,asd
2013-03-15,0.273659467697144,Rainf,asd
2014-03-15,0.881253361701965,ET,asd
2014-03-15,2.68853235244751,GPP,asd
2014-03-15,0.881253361701965,LE,asd
2014-03-15,0.20866946876049,Rainf,asd
2015-03-15,0.723360896110535,ET,asd
2015-03-15,2.65082716941834,GPP,asd
2015-03-15,0.723360896110535,LE,asd
2015-03-15,0.0209285356104374,Rainf,asd
2016-03-15,0.570620000362396,ET,asd
2016-03-15,2.58305287361145,GPP,asd
2016-03-15,0.570620000362396,LE,asd
2016-03-15,0,Rainf,asd
2017-03-15,0.939659416675568,ET,asd
2017-03-15,2.5447404384613,GPP,asd
2017-03-15,0.939659416675568,LE,asd
2017-03-15,0.520271480083466,Rainf,asd
2018-03-15,0.56259298324585,ET,asd
2018-03-15,2.46573686599731,GPP,asd
2018-03-15,0.56259298324585,LE,asd
2018-03-15,0,Rainf,asd
2019-03-15,0.788588762283325,ET,asd
2019-03-15,2.6029109954834,GPP,asd
2019-03-15,0.788588762283325,LE,asd
2019-03-15,0.1938366740942,Rainf,asd
2013-04-01,0.574599623680115,ET,asd
2013-04-01,2.7812876701355,GPP,asd
2013-04-01,0.574599623680115,LE,asd
2013-04-01,0.0182366520166397,Rainf,asd
2014-04-01,1.71357846260071,ET,asd
2014-04-01,2.73199272155762,GPP,asd
2014-04-01,1.71357846260071,LE,asd
2014-04-01,0.970209717750549,Rainf,asd
2015-04-01,2.57162952423096,ET,asd
2015-04-01,2.74210095405579,GPP,asd
2015-04-01,2.57162952423096,LE,asd
2015-04-01,2.39977931976318,Rainf,asd
2016-04-01,1.16791689395905,ET,asd
2016-04-01,2.58084511756897,GPP,asd
2016-04-01,1.16791689395905,LE,asd
2016-04-01,0.585284173488617,Rainf,asd
2017-04-01,1.14921879768372,ET,asd
2017-04-01,2.92801833152771,GPP,asd
2017-04-01,1.14921879768372,LE,asd
2017-04-01,0.507578253746033,Rainf,asd
2018-04-01,2.31246018409729,ET,asd
2018-04-01,2.82851982116699,GPP,asd
2018-04-01,2.31246018409729,LE,asd
2018-04-01,2.05976176261902,Rainf,asd
2019-04-01,1.03594493865967,ET,asd
2019-04-01,2.654865026474,GPP,asd
2019-04-01,1.03594493865967,LE,asd
2019-04-01,0.317222416400909,Rainf,asd
2013-04-15,0.944350242614746,ET,asd
2013-04-15,2.8216507434845,GPP,asd
2013-04-15,0.944350242614746,LE,asd
2013-04-15,0.151952803134918,Rainf,asd
2014-04-15,1.10682368278503,ET,asd
2014-04-15,2.68672561645508,GPP,asd
2014-04-15,1.10682368278503,LE,asd
2014-04-15,0.217781990766525,Rainf,asd
2015-04-15,1.00208473205566,ET,asd
2015-04-15,2.05459094047546,GPP,asd
2015-04-15,1.00208473205566,LE,asd
2015-04-15,0,Rainf,asd
2016-04-15,1.30209934711456,ET,asd
2016-04-15,2.29606914520264,GPP,asd
2016-04-15,1.30209934711456,LE,asd
2016-04-15,0.488341420888901,Rainf,asd
2017-04-15,0.998610079288483,ET,asd
2017-04-15,2.36968684196472,GPP,asd
2017-04-15,0.998610079288483,LE,asd
2017-04-15,0.00260153156705201,Rainf,asd
2018-04-15,1.45477020740509,ET,asd
2018-04-15,2.38006806373596,GPP,asd
2018-04-15,1.45477020740509,LE,asd
2018-04-15,0.568363845348358,Rainf,asd
2019-04-15,3.22923278808594,ET,asd
2019-04-15,2.60804057121277,GPP,asd
2019-04-15,3.22923278808594,LE,asd
2019-04-15,2.67842388153076,Rainf,asd
2013-05-01,2.63617086410522,ET,asd
2013-05-01,2.34143209457397,GPP,asd
2013-05-01,2.63617086410522,LE,asd
2013-05-01,1.6992175579071,Rainf,asd
2014-05-01,3.07888197898865,ET,asd
2014-05-01,2.55662655830383,GPP,asd
2014-05-01,3.07888197898865,LE,asd
2014-05-01,2.10595989227295,Rainf,asd
2015-05-01,4.05415105819702,ET,asd
2015-05-01,2.43094301223755,GPP,asd
2015-05-01,4.05415105819702,LE,asd
2015-05-01,3.20821619033814,Rainf,asd
2016-05-01,4.42359399795532,ET,asd
2016-05-01,2.35460877418518,GPP,asd
2016-05-01,4.42359399795532,LE,asd
2016-05-01,5.02097749710083,Rainf,asd
2017-05-01,2.54971766471863,ET,asd
2017-05-01,2.06794166564941,GPP,asd
2017-05-01,2.54971766471863,LE,asd
2017-05-01,1.48880910873413,Rainf,asd
2018-05-01,3.87638735771179,ET,asd
2018-05-01,2.07951760292053,GPP,asd
2018-05-01,3.87638735771179,LE,asd
2018-05-01,2.67212414741516,Rainf,asd
2019-05-01,3.62874317169189,ET,asd
2019-05-01,1.78245735168457,GPP,asd
2019-05-01,3.62874317169189,LE,asd
2019-05-01,2.22959399223328,Rainf,asd
2013-05-15,1.32810497283936,ET,asd
2013-05-15,1.99790596961975,GPP,asd
2013-05-15,1.32810497283936,LE,asd
2013-05-15,0.29179373383522,Rainf,asd
2014-05-15,2.71427083015442,ET,asd
2014-05-15,1.53641223907471,GPP,asd
2014-05-15,2.71427083015442,LE,asd
2014-05-15,1.52085411548615,Rainf,asd
2015-05-15,2.80444693565369,ET,asd
2015-05-15,1.3479266166687,GPP,asd
2015-05-15,2.80444693565369,LE,asd
2015-05-15,1.0685316324234,Rainf,asd
2016-05-15,1.89982295036316,ET,asd
2016-05-15,1.56984770298004,GPP,asd
2016-05-15,1.89982295036316,LE,asd
2016-05-15,0.27141684293747,Rainf,asd
2017-05-15,3.28767919540405,ET,asd
2017-05-15,1.68515992164612,GPP,asd
2017-05-15,3.28767919540405,LE,asd
2017-05-15,2.18126130104065,Rainf,asd
2018-05-15,2.23391652107239,ET,asd
2018-05-15,1.29730868339539,GPP,asd
2018-05-15,2.23391652107239,LE,asd
2018-05-15,0.768761098384857,Rainf,asd
2019-05-15,3.70396375656128,ET,asd
2019-05-15,0.866784155368805,GPP,asd
2019-05-15,3.70396375656128,LE,asd
2019-05-15,2.01329660415649,Rainf,asd
2013-06-01,1.96410477161407,ET,asd
2013-06-01,2.34015989303589,GPP,asd
2013-06-01,1.96410477161407,LE,asd
2013-06-01,0.492152184247971,Rainf,asd
2014-06-01,2.64127731323242,ET,asd
2014-06-01,2.54446983337402,GPP,asd
2014-06-01,2.64127731323242,LE,asd
2014-06-01,1.31770241260529,Rainf,asd
2015-06-01,4.81676959991455,ET,asd
2015-06-01,2.38281393051147,GPP,asd
2015-06-01,4.81676959991455,LE,asd
2015-06-01,3.31707215309143,Rainf,asd
2016-06-01,3.11776542663574,ET,asd
2016-06-01,2.16047263145447,GPP,asd
2016-06-01,3.11776542663574,LE,asd
2016-06-01,1.6760276556015,Rainf,asd
2017-06-01,1.61112701892853,ET,asd
2017-06-01,2.21291279792786,GPP,asd
2017-06-01,1.61112701892853,LE,asd
2017-06-01,0,Rainf,asd
2018-06-01,2.31405639648438,ET,asd
2018-06-01,1.3631272315979,GPP,asd
2018-06-01,2.31405639648438,LE,asd
2018-06-01,0.784250736236572,Rainf,asd
2019-06-01,2.73211073875427,ET,asd
2019-06-01,1.99326848983765,GPP,asd
2019-06-01,2.73211073875427,LE,asd
2019-06-01,1.01923418045044,Rainf,asd
2013-06-15,5.22784423828125,ET,asd
2013-06-15,2.32189512252808,GPP,asd
2013-06-15,5.22784423828125,LE,asd
2013-06-15,5.02077007293701,Rainf,asd
2014-06-15,4.43661737442017,ET,asd
2014-06-15,2.52868938446045,GPP,asd
2014-06-15,4.43661737442017,LE,asd
2014-06-15,3.18128800392151,Rainf,asd
2015-06-15,1.71274447441101,ET,asd
2015-06-15,2.65059161186218,GPP,asd
2015-06-15,1.71274447441101,LE,asd
2015-06-15,0,Rainf,asd
2016-06-15,3.60786843299866,ET,asd
2016-06-15,1.71176195144653,GPP,asd
2016-06-15,3.60786843299866,LE,asd
2016-06-15,2.11254835128784,Rainf,asd
2017-06-15,3.8542160987854,ET,asd
2017-06-15,2.6083984375,GPP,asd
2017-06-15,3.8542160987854,LE,asd
2017-06-15,2.29685020446777,Rainf,asd
2018-06-15,1.66051483154297,ET,asd
2018-06-15,0.916278958320618,GPP,asd
2018-06-15,1.66051483154297,LE,asd
2018-06-15,0,Rainf,asd
2019-06-15,1.71180701255798,ET,asd
2019-06-15,1.4401547908783,GPP,asd
2019-06-15,1.71180701255798,LE,asd
2019-06-15,0,Rainf,asd
2013-07-01,5.93534994125366,ET,asd
2013-07-01,2.65575981140137,GPP,asd
2013-07-01,5.93534994125366,LE,asd
2013-07-01,10.7040596008301,Rainf,asd
2014-07-01,4.55699872970581,ET,asd
2014-07-01,2.10781645774841,GPP,asd
2014-07-01,4.55699872970581,LE,asd
2014-07-01,3.32225227355957,Rainf,asd
2015-07-01,4.36702156066895,ET,asd
2015-07-01,2.5489673614502,GPP,asd
2015-07-01,4.36702156066895,LE,asd
2015-07-01,2.67383337020874,Rainf,asd
2016-07-01,2.97683787345886,ET,asd
2016-07-01,2.24000287055969,GPP,asd
2016-07-01,2.97683787345886,LE,asd
2016-07-01,1.64357507228851,Rainf,asd
2017-07-01,5.13056516647339,ET,asd
2017-07-01,2.83622646331787,GPP,asd
2017-07-01,5.13056516647339,LE,asd
2017-07-01,5.93788003921509,Rainf,asd
2018-07-01,4.92470836639404,ET,asd
2018-07-01,2.30683279037476,GPP,asd
2018-07-01,4.92470836639404,LE,asd
2018-07-01,6.0063648223877,Rainf,asd
2019-07-01,4.87359809875488,ET,asd
2019-07-01,1.82954263687134,GPP,asd
2019-07-01,4.87359809875488,LE,asd
2019-07-01,5.28054189682007,Rainf,asd
2013-07-15,4.55703926086426,ET,asd
2013-07-15,2.50677585601807,GPP,asd
2013-07-15,4.55703926086426,LE,asd
2013-07-15,3.35205721855164,Rainf,asd
2014-07-15,3.61046314239502,ET,asd
2014-07-15,2.09614968299866,GPP,asd
2014-07-15,3.61046314239502,LE,asd
2014-07-15,2.25570297241211,Rainf,asd
2015-07-15,5.68260288238525,ET,asd
2015-07-15,3.27270889282227,GPP,asd
2015-07-15,5.68260288238525,LE,asd
2015-07-15,7.95057153701782,Rainf,asd
2016-07-15,6.19517517089844,ET,asd
2016-07-15,2.84393835067749,GPP,asd
2016-07-15,6.19517517089844,LE,asd
2016-07-15,13.1109352111816,Rainf,asd
2017-07-15,4.1707878112793,ET,asd
2017-07-15,2.4767861366272,GPP,asd
2017-07-15,4.1707878112793,LE,asd
2017-07-15,3.65947270393372,Rainf,asd
2018-07-15,7.09135341644287,ET,asd
2018-07-15,1.95103359222412,GPP,asd
2018-07-15,7.09135341644287,LE,asd
2018-07-15,13.7754583358765,Rainf,asd
2019-07-15,5.1457839012146,ET,asd
2019-07-15,1.51760625839233,GPP,asd
2019-07-15,5.1457839012146,LE,asd
2019-07-15,5.37476253509522,Rainf,asd
2013-08-01,4.59974527359009,ET,asd
2013-08-01,2.32433104515076,GPP,asd
2013-08-01,4.59974527359009,LE,asd
2013-08-01,3.42275667190552,Rainf,asd
2014-08-01,4.3880352973938,ET,asd
2014-08-01,2.33575749397278,GPP,asd
2014-08-01,4.3880352973938,LE,asd
2014-08-01,3.29264760017395,Rainf,asd
2015-08-01,3.42168378829956,ET,asd
2015-08-01,2.53636312484741,GPP,asd
2015-08-01,3.42168378829956,LE,asd
2015-08-01,1.72249054908752,Rainf,asd
2016-08-01,4.66358137130737,ET,asd
2016-08-01,2.39316940307617,GPP,asd
2016-08-01,4.66358137130737,LE,asd
2016-08-01,4.64274740219116,Rainf,asd
2017-08-01,5.32050085067749,ET,asd
2017-08-01,1.55591297149658,GPP,asd
2017-08-01,5.32050085067749,LE,asd
2017-08-01,7.27085208892822,Rainf,asd
