"ET","GPP","Year"
3.63983938815592,3.40518114395134,2013
3.28307450432642,3.48909107992253,2014
3.59056119037781,4.80885722131859,2015
3.10550546326676,3.31191746187504,2016
3.60418913766539,4.44323788001602,2017
3.25356271132646,3.06718686579064,2018
3.10687162434249,3.38006360640972,2019
